Location	Latitude	Longitude	Vader 	Stanford	My Score	AntConc Collocation
Abdera, Thrace	40.9923554	25.0110102	Negative	Negative	Negative	vilest, purple, laughter, euripides, democritus, irony, pathetic
Arabia	23.885942	45.079162	Negative	Negative	Neutral	thirstiest, sandy, desert, cup, wished, water, grave, cold
Bastille, French	48.8527109	2.3688119	Negative	Negative	Negative	towers, systematic, terror, reduce, reasoning, servile
Bourbonnois	46.535588	2.841544	Positive	Neutral	Neutral	sweetest, abundance, vintage, travel, distress, France, nature
Brittany	48.2020471	-2.9326435	Negative	Negative	Negative	tree, root, fought, decay, poverty, 
Calais, France	50.95129	1.858686	Negative	Neutral	Negative	resignations, orphan, musing, hostile, hypocrisy, interest, dominions
Cape of Good Hope	-34.3586894	18.4753499	Positive	Neutral	Positive	Dutchmen, transplanted, grape, drinking, mountains
France	46.227638	2.213749	Positive	Negative	Neutral	connoisseur, sweetest, materialism, kings, chicken, war, satisfy
Indostan	20	78	Positive	Negative	Positive	reverenced, plains, Bramin
London	51.5073509	-0.1277583	Negative	Negative	Neutral	precipitation, shopkeeper, streets, walk
Montreuil 	48.863812	2.448451	Positive	Negative	Positive	silver, sea, rain, penance, monarchs, misfortune, empire
Paris	48.856614	2.3522219	Positive	Negative	Positive	travelled, vast, temptation, risks, opportunities, dishonest, store
Turin	45.063299	7.669289	Negative	Negative	Neutral	treasury, strumpet, provocation
